SkillID;Name
396BB459;Ocean's Bounty
785AAF40;Mountain's Harvest
BFCCEE0F;Moon's Gift
FEFDF516;Hinix Rising
3DAED83D;Striking Gold
6A264C52;Impact
D077454B;Magic Bullet
4647423C;Fire Wall
E5D226A2;Gold
73E22155;Gold Coins
C9B3284C;Blade Wall
5F832F3B;Slash
CE9E90AB;Snowball
63757C14;Pop Up Blocker
F5457B83;Trap Blocker
4F14721A;Mobile Armor
D924756D;Attack Blocker
