SkillConfigID;Name
335AD282;Freshen Up
563D6E3A;Meltdown
EF05B9A7;Power Snack
8A62051F;Sick Lick
61A0CE19;Sick Lick
381E881B;Sick Lick
64CDB00D;Pal Power
EBF66102;Pal Power S
01AA0CB5;Sucking Mud
EA68C7B3;Sucking Mud
B3D681B1;Unnamed
57BA6F2D;Fighting Fit
32DDD355;Spruce Up
A84EFB9A;Lionize
CD294722;Power Lunch
2386F230;Fightamins
62B7E929;Maulnutrition
46E14E88;Tailwind
FFD99915;Amazing Haze
4DA51411;Unnamed
9ABE25AD;Not So Sorry
741190BF;Copycat
11762C07;Lying Saucer
47664F5F;Memory Loss
2201F327;Amazing Haze
C9C33821;Awful Haze
907D7E23;Unnamed
18679BA7;Hot Pot
7D00271F;Not So Sorry
93AF920D;Mirror Power
F6C82EB5;Paralyze
B7F935AC;Paralyze
4FF0F928;Crack Up
2A974590;Envy
C438F082;Sweat it Out
A15F4C3A;Lightning Speed
F74F2F62;Get Lost
9228935A;Shakedown
C81D3B20;Shrimpervious
AD7A8758;Loose Cannon
43D5324A;Evil Eyes
02E42953;Evil Eyes
F1A9BF4E;Unnamed
26B28E12;Beef Up
9F8A596F;Lightning Speed
FAEDE557;Thick Skin
14425045;Big Shot
55734B5C;Stay-at-Home
7125EC7D;Losing Face
C3596179;Unnamed
27358F25;Eye-Eye
95490221;Unnamed
4252339D;Leg Up
78345B5D;Hot Stepper
1D53E765;Storm Drain
F3FC5277;Freaky Face
969BEE4F;Bedtime
2FA33952;Kappa Quick
6E92224B;Kappa Quick
C461F254;Wicked Tale
9DDFB456;Unnamed
4AC4852A;Hose Be with You
A46B3008;Lick Your Wounds
C10C8C40;Undercover
2ACE4746;Ruin
73700144;Unnamed
971CEF18;A-meh-zing
F27B53A0;Battle Beat
A9A30B5F;Raging Bull
4261C059;Bad Fortune
1BDF865B;Unnamed
CCC4B727;Chin Up
27067C21;Chin Down
7EB83A23;Unnamed
226B0215;Solar Power
470CBE4D;Dance Party
FE346950;Lick Your Wounds
9B53D568;A-meh-zing
75FC607A;Deep Cover
109BDC42;Cheer up
468BBF9A;Supoor Squanderer
23EC0322;Raging Bull
198A6B62;Rest Aura
58BB707B;Healing Horn
7CEDD75A;Bless My Sole
CE915A5E;Unnamed
92426248;Restless Night
F725DE70;Bad Influence
4E1D092D;Wilt
2B7AB555;Hate to Wait
C5D50047;Helpless
A0B2BC;Spirit Zapper
F6A2DFA7;Burn
93C5631F;Prima Donna
CD3B27A4;Dracufang
A85C9B1C;Sleepless Night
46F32E0E;Boil Away
239492B6;Thatch
C85659B0;Thatch
91E81FB2;Unnamed
9AAC452B;Doubt It
FFCBF993;Big Up
11644C81;Elementary Curse
7403F039;Shirkster
22139361;Tie Down
47742F59;Sweaty Swine
7D124799;Vroom Vroom
1875FB21;Thicket
AA097625;Unnamed
F6DA4E33;High School Hex
93BDF28B;Entrap
D28CE992;Entrap
2A852516;Rustic Charm
4FE299AE;Pain in the Neck
A14D2CBC;Two to Tangle
C42A9004;Ba-Dum-Diss
923AF35C;Happy Daze
F75D4F24;Coast Guard
AD68E75E;Bugged Out
C80F5B66;Rejuvenate
23CD9060;Gouge
7A73D662;Unnamed
26A0EE74;Neck Tie
CD622572;Neck Tie
94DC6370;Unnamed
43C7524C;Maybe Later
FAFF8551;Wigged Out
9F983929;Happy Daze
71378C0B;What a Drag
14503043;Rejuvenate
55612B5A;Legend Power
4240531B;Megasize
2727EFA3;Join the Dance
1D418723;Info Dump
78263B5B;Slurperpowers
96898E49;Strange Power
F3EE3211;Strange Power
4AD6E56C;Strange Power
2FB15954;Unfairy Power
C11EEC46;Unkaind Power
A479507E;Untidy Power
F2693326;Unpleasant Power
970E8F9E;Unkeen Power
0D9DA751;Rat Fink
68FA1B29;Stats n' Stripes
8655AE0B;Curse of Darkness
E3321243;Power of Friendship
5A0AC55E;At Your Service
3F6D7966;System Upgrade
D1C2CC74;Girl Power
B4A5704C;Tiger Power
E2B51394;Power of Friendship
87D2AF2C;Jet Propulsion
BDB4C76C;Wanderlust
531B727E;Dig Deep
EA23A523;Moximous
106C9E01;Get Your Goat
FEC32B13;Get Your Goat
9BA497AB;Bedtime
229C4036;Festival Fun
47FBFC8E;Panja Power
A954499C;Panja Power
CC33F524;Eelectrify
9A23967C;Eelectrify
FF442A44;Octoplus
C5224284;Octoplus
A045FE3C;Sanks So Much
4EEA4B2E;Refusal
2B8DF796;Suck It Up
92B5200B;Suck It Up
F7D29CB3;Could Care Less
197D29A1;Could Care More
7C1A9519;Sweet Relief
2A0AF641;Sweet Relief
B880BBAE;Steel Power
562F0EBC;Steel Power
3348B204;Steel Power
8A706599;Steel Power
EF17D921;Steel Power
01B86C33;Steel Power
64DFD08B;Melon Juice
25EECB92;Juiced Up
E6BDE6B9;Fur Coat
A78CFDA0;Feeling Grape
601ABC2F;Strawburst
212BA716;Watermaulin'
062E0F9A;Slimed
BE7F1C94;Slimed
60E37E49;Delicious Dumpling
8E4CCB5B;Who's a good boy!
EB2B7763;Monkeying Around
5213A002;A Peck Above
37741C46;Nyancelerator Tech
D9DBA954;P.K.Swirls Meter
BCBC152C;Oath of Fealty
EAAC76B4;Witching Hour
8FCBCA0C;Loosen Up
00B0BEB3;Tootin' Tech
EE1F0BA1;Emperor Mode On
8B78B719;Lord Enma's Favor
32406084;Normalize
5727DC3C;Palatial Power
B988692E;Grant Strength
DCEFD596;Morale Boost
8AFFB64E;Curse of the Oni
EF980A76;Machine Power
B4405289;Become Violent
D127EE31;Shielding Slime
3F885B23;Crank-a-Kai Crazy
5AEFE79B;Drench
E3D73006;Astrally Augmented
86B08CBE;Jittery Jinx
681F39AC;Curse of the Oni
0D788514;Arrest Momentum
B5BFC24A;Heart-a-Flutter
5B107758;Butter Fingers
3E77CB60;Disturb Sleep
874F1C05;Gutsy Gambler
E228A045;Goof Up
0C871557;Step it Up!
69E0A92F;Leg it!
3FF0CAB7;Meat-a-mins
5A97760F;Me Know Nothing...
60F11E4F;Snobbery
0596A217;Pause for Thought
EB391725;Taunt
AA080C04;Taunt
8E5EAB5D;Land Ahoy!
37667C40;Can-Do Champion
5201C078;Lap it Up!
BCAE756A;Grande Guts
D9C9C952;Expose Weakness
8FD9AA8A;On the Warpath
EABE1632;Unzip Defenses
B08BBE08;Slip'n'slide
D5EC02B0;Mishear
3B43B7A2;But Whhhyyy?!
5E240B1A;Pass the Chuk
E71CDC87;Cornfuse
827B603F;Paaaaaartay!
6CD4D52D;Rainbow Aura
09B36995;Paralyze
5FA30A4D;Perplex
3AC4B675;No Toilet Paper!
00A2DE35;Just Chill Out
65C5628D;Frivolous Frittering
8B6AD79F;Hear-Too-Much
EE0D6B27;A-meh-zing
5735BCBA;Paralyze
32520002;Curse of the Oni
DCFDB510;Elegance
9DCCAE09;Elegance
B99A09A8;Drown in Delight
EF8A6A10;Nummskullery
8AEDD648;Unfazed
107EFE87;Overreact
7519423F;Dreadful Driving
9BB6F72D;Heedlessness
FED14B95;Burst into Song
47E99C08;Shell Shield
228E20B0;Repossess
CC2195A2;Listen Up!
A946291A;Hammer into Shape
FF564A42;Kai-borgization
9A31F60A;Blow Your Top
A0579EBA;Steak Sauce
C5302202;No Herd Instinct
2B9F9710;Defensive Posture!
4EF82BA8;Silver Sheen
F7C0FC35;Sharp Skin
B6F1E72C;Sharp Skin
92A7408D;Unbelievaboy Might
7C08F59F;Befuddle
196F4927;Don't Dessert Me
4F7F2A7F;Butter Blue
2A189647;But Whhhyyy?!
702D3E05;Cue-Tee's Choice
154A8245;Languid Lolling
FBE53757;Languid Lemon
9E828B2F;Make a Stink
27BA5C72;Slack Off
42DDE04A;Big Spender
AC725558;Dire Demands
C915E960;Breadwinner
9F058A38;Fortune's Fool
FA623680;Burn
C0045E40;Tengurious Tailwind
81354559;Seal
A563E278;Punkification
E452F961;Hot Chilli Challenge
4BCC576A;So Sharp Cyclone
2EABEB52;Beatific Bathtime
97933C4F;Get Lookin'
F2F48017;Harmonic Healing
1C5B3525;Weightlessness
793C895D;Spill Over
2F2CEA05;Cheer On
4A4B56BD;Tongue Tied
11930E42;Such a Parfait Day
74F4B20A;Got it!
9A5B0728;One with the Earth
FF3CBB50;Fun Times
46046C4D;Swayed Intentions
2363D075;Dental Defence
CDCC6567;Balmy Bathtime
A8ABD95F;In Good Hands
FEBBBA87;Scientific Method
9BDC063F;Speed Up!
DAED1D26;Sonic Stance
A1BA6E7F;Florescent Flourish
C4DDD247;Slow Down
2A726755;Retreet
4F15DB6D;Stop Negging Me!
F62D0C10;Prickly Prickle
934AB048;Big Mess Up
7DE5055A;Geekify
1882B922;Enrage
59B3A20B;Enrage
9AE08F50;Enrage
DBD19449;Enrage
1C47D586;Enrage
4E92DABA;Crisp and Tasty
2BF56602;Self Loathing
7EAAEA14;Crook-a-doodle-do
1BCD564C;Off Guard
F562E35E;Painful Memories
90055F26;Hip Hop Hold Up
293D887B;Hairy Happenings
4C5A3443;Retreet
A2F58151;Lethargy
C7923D69;Butterfingers
91825E31;H4xx0red, n00b!
F4E5E289;Cruel Concoction
B5D4F990;Crazy Concoction
CE838A49;Hate to Wait
ABE43671;That's the Way!
454B8363;Tie-m to go Home
202C3F5B;Polite to a Fault
9914E846;Love-Torn Tirade
FC735402;Slapped Silly
12DCE12C;Indentured Service
77BB5D54;Creep Out
21AB3E0C;Foist Off
44CC82B4;Lonely World
1EF92A8E;Can't Keep This Up
7B9E9636;Baggy Britches
95312324;Hard Luck
F0569F9C;Shell Shatter
496E4801;Sick Inducing
2C09F4B9;Polite to a Fault
C2A641AB;Decisive Action
A7C1FD13;Haired to Death
F1D19E4B;Hidden Potential
B0E08552;Phantasmal Power
94B62213;Mired Down
AED04AB3;Jibber Jabbering
CBB7F60B;Impending Doom
25184319;That'll Do!
407FFFA1;Slow and Steady
F947283C;FREAK OUT!
9C209484;Rampage
728F2196;Reckless Optimism
17E89D2E;Starstruck!
41F8FE76;What's the Snip-Up?
249F424E;Inflated Ego
BE0C6A01;Yank Off
DB6BD6B9;Grumble and Gripe
35C463AB;Battered Bitterness
50A3DF13;Mysterious Ooze
E99B088E;Puppy Press
8CFCB436;I Did it Myyyy Way!
62530124;Demolition
23621A3D;Squandasaurus Rex
0734BD9C;Lingering Smile
5124DE44;Marine Mysteries
3443627C;Asura's Rage
0E250A3C;Curse of Q
BB381643;Dramatize
0200C15E;Future Tech
67677D26;Enrage
31771EBE;Wonder Wasabi
5410A206;Battered Boon
0B117602;Last Stand
E5BEC32C;Platinum Plating
80D97F54;Sparkly Swirls
39E1A849;Rousing Rally
5C861471;Trivialize
B229A163;Dandify
D74E1D5B;Millionaire Misbelief
815E7E83;City Snobbery
E439C23B;Hyperactive Hijinks
BFE19A44;Swirlin' on Up
DA86267C;Merican Mechanics
3429936E;Steel Chassis
514E2F56;Steel Chassis
E876F84B;Feelin' Famished
8D114413;Delinquency
63BEF121;Loquaciousness
06D94D59;Healing Hot-cakes
50C92E01;Forced Apology
35AE92B9;Lively Lettuce
0FC8FA09;Yum Choco-Banana
6AAF4641;Disbursement
8400F353;Buzzin'
E1674F2B;Mount Up!
585F9876;Kupower Nyan!
3D38244E;Wobble Nyans
D397915C;Wibble Swirls
E0E04E3C;Loosen Up
8587F284;Toughen Up
BE1E0A87;Cloaked in Miss Teri
50B1BF95;Scarlet Secrets
35D6032D;King of Nyans
8CEED4B0;Darn Queenin'
E9896808;Jack of all Swirls
0726DD1A;Tenfold Triumph
624161A2;Ace of Nyans
3451020A;Joker of the Pack
0E376ABA;Benzaiten's Wrath
E098DFA8;Hotei's Favor
85FF6310;Ebisu's Fortune
3CC7B48D;Daikokuten's Ward
59A00835;Bishamonten Boon
B70FBD27;Jurojin's Curse
D268019F;Fukurokuju's Favor
BB2A7645;Simply Gorgeous
DE4DCA05;Nyan of Steel
30E27F2F;Midnight Malady
5585C357;Ultimate Power
ECBD144A;Complete Exposure
89DAA872;Kongming Whisdom
67751D60;Indomitable Ire
5402C280;Darn Tofootin'
31657E38;Defenseless
0B031678;Procrastination
6E64AA40;Pudding Positivity
80CB1F52;Blue Shy Thinking
E5ACA36A;Self-important Spirit
5C947417;Rapturous Redress
39F3C84F;Sink'n Feelin'
D75C7D5D;Pincushion
B23BC125;Chic Compulsion
E42BA2BD;Power of Enma
814C1E05;Dashingly Divine
1BDF364A;Awaken
7EB88A72;Gilded Guard
90173F60;Alloyed Powers
F5708358;Forbidden Power
4C485445;Catlike Reflexes
292FE805;Divine Defense
C7805D2F;Swirly Scourge
A2E7E157;False Fortunes
F4F7820F;Focused Rage
91903EB7;That Eureka Moment
ABF65617;That Eureka Moment
1EEB4A08;Whyvern Wind
F044FF1A;Stress Out
952343A2;Yummy Yolk
2C1B943F;Brittle Bones
497C2887;Crummy Curse
A7D39D95;Treasure Trapped!
C2B4212D;Believe in Yourself!
401EE9B2;I'm Too Blizzy!
E0F20E5B;Feel da Beat!
AEC22A35;Radiant Rapture
406D9F27;Stitch in Time
250A239F;Penumbral Power
9C32F402;Resonant Rhythm
F95548BA;Breathe In...
17FAFDA8;Breathe Out!
729D4110;Just Gotta Shout!
248D2248;Ocean Guard
41EA9E10;Alpine Guard
1A32C60F;Lunar Guard
7F557AB7;Frightful Flash
91FACFA5;Abyssal Addle
F49D731D;Infernal Immobility
6BAC5C76;Dig Long & Prosper
8503E964;Spirit of Adventure
E064555C;Zombify
595C8241;Infantilize
3C3B3E09;Spiteful Sphinx
D2948B2B;Hinix Flame
B7F33753;Treasure Transfixion
E1E3540B;Clown Around
203E5F5D;Unnamed
4559E325;Unnamed
FC613478;Unnamed
99068840;Unnamed
77A93D52;Unnamed
AB18BC05;Back to Basics
50542D41;Unnamed
8D8C47B3;Unnamed
EC58861E;Unnamed
55605183;Unnamed
D7B9EF89;Unnamed
A2027383;Unnamed
122B13BE;Unnamed
99E31A14;Unnamed
F0A16D4E;Unnamed
A3EF8346;Unnamed
AAFE3426;Unnamed
2279D222;Unnamed
A0A06C28;Unnamed
1CACC7B7;Unnamed
4B3BA538;Unnamed
69175BBD;Unnamed
5020D266;Blabber Mouth
E871C168;Blabber Belch
F5F38EAD;Pointy Toothpick
478F03A9;Ninja Stab
1B5C3BBF;Toothpick Rainfall
5A6D20A6;Gutsy Cut
7E3B8707;Croaking Prayer
C703509A;Yawnehameha
86324B83;Yawnehameha X
A264EC22;Mochi Punch
E355F73B;Minochi Punch
10186126;Impulsive Punch
4CCB5930;Halfhearted Chop
29ACE588;Resigned Rush
689DFE91;Phantom Smash
7FBC8650;Go for Broke
CDC00B54;Bluff 'n' Tumble
1ADB3A68;Legendary Slash
5BEA2171;Holy Slash
A8A7B76C;Blunt Blade
20BD5228;Demonic Slash
45DAEE90;Helmsman Helm
AB755B82;Knight's Slash
EA44409B;Ticket to Hades
1909D686;Head Off
CE12E73A;Blazing Fist
8F23FC23;Earthshaker
4C70D108;Roaring Stance
7C6E6A3E;Narrow Margin
772A30A7;Big Pincers
C556BDA3;Black Scissors
124D8C1F;Infernal Pincers
537C9706;The Guillotine
57B9FB62;Infernal Pincers
FCE2390D;999 Blades
BDD32214;B3-NK1 GUN
998585B5;Zerberker Slash
D8B49EAC;For Naughty Brats
2BF908B1;Reckless Dancing
CF95E62D;Stretchy Slap
8EA4FD14;Sneezy Spike
AAF25A55;Third Eye
EBC3414C;Foursight
188ED751;Plunging Heart
F0C7F26F;Wuwuzzat?
B1F6E976;Ignorance Is Bliss
42BB7F6B;Sneaky Thief
95A04E57;Mwabsorption
D491554E;Blue Kiss
7B0FFB45;Sushiyama Strike
3A3EE05C;Boastful Bomber
C9737641;Annoying Stomp
1E68477D;Kiss of Life
AC14CA79;Kiss Kiss Bang
A7509020;Heavenly Heart
E6618B09;Fiery Longing
C2372C58;Loving Slap
83063741;Skeleton Smack
704BA15C;Slap 'n' Grab
2C98994A;Max Volume 11!
49FF2512;Sleepy Smoke
08CE3E2B;Daydream
1FEF46AA;Signal Shock
7A88FA12;Ton o' Thunder
3BB9E10B;Giga Turbocharge
40EE9252;Mirror to Mirror
D6DE9525;Mirror to Mirror
6C8F9CBC;Mirror to Mirror
01DF894B;Dark World
97EF8E3C;Dark World
2DBE87A5;Dark World
25892E2A;Spirit Illusion
64B83513;Spirit Daze
A7EB1858;Wandering World
97F5A32E;Mirrored Soul
CB269B08;Snow Sherbet
795A1604;Brain Freeze
AE412740;Shiny Snowdrifts
EF703C59;â˜†Shiny Chaos
1779F05D;Inferno
5648EB44;Arctic Abyss
951BC62F;Alpha Omega
721E4C65;Headbutt HEY-O!
9CB1F977;Burning Buster
DD80E26E;Gorilla Straight
F9D6454F;Koff Dropper
B8E75E56;Sting Bomb
AFC62697;â˜†Stylish Stab
1DBAAB93;â˜†Brelly Rush
CAA19A2F;â˜†Prism Parasol
8B908136;â˜†Radiant Rain
5032B220;No Way Through
35550E58;Insurmountable
74641541;Stonewall Drop
DBFABB4A;Barricade Block
9ACBA053;Iron Cloutain
BE9D0712;Lock of Steel
07A5D06F;Ultra Sumo Stomp
4694CB76;Midnight Stomp
62C26C57;Super Horn Crash
D0BEE153;Path to Heck
8C6DD945;Horn Breaker
CD5CC25C;Horn Explosion
E90A657D;Glorious Buh-Bye
A83B7E64;Self-Destruct
6B68534F;Refined Guard
2A594856;Platinum Guard
5B76E879;No Scope
BF1A0625;Total Collapse
FE2B1D3C;Tidal Guard
DA7DBA9D;Cicada Cut
68013799;Pizza Slicer
E01BD25D;Shadow Speed
A12AC944;Wind Run
857C6E65;Boohoo Blast
C44D757C;Awfully Awkward
071E5857;Meet the Reaper
3700E361;Delinquent Doom
6BD3DB77;Paws of Fury
D9AF5673;Dirty Claws
0EB4674F;Thorny Thwacks
B78CB052;Nyice ta Beatcha
D2EB0C2A;Guard Meowde
93DA1713;Gold Thundpurr
3C44B908;Perfect Paws
7D75A221;Pure-Blue Paws
BE268F4A;Cutie Paws
FF179453;Ruby Boogie
3881D59C;Glittering Paws
59230540;Mega Waterfall
EB5F8844;Great Heights
0F336618;Torrent Slash
4E027D01;Bodacious Slash
BD4FEB1C;Strobe Attack
6A54DAA0;Spirit Dance
2B65C1B9;Wild Zaps
D82857A4;Groovy Moves
3061729A;Spirit Burst
B20344A8;Crazy Lightning
821DFF9E;Me-First Burst
5506CE22;Spacing Out
1437D53B;Uh, Er... Hold On.
E77A4326;Man of the House
BBA97B30;Icicle Crack
DECEC788;Subzero
9FFFDC91;Heat Wave
6CB24A8C;The Spine Tingler
